pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,0,5.431300,0.027433,0.933357,0.349472,0.051850,0.895263,0.245369,0.086555,0.877204,0.162670,0.105214,0.846753,0.044591,0.056553,0.778901,-0.039243,0.002274,0.928414,-0.021323,-0.075498,0.780217,-0.065613,-0.154682,-0.670954,0.259762,0.626640,-0.565203,-0.464833,-0.031555,-0.134927,-0.129473,-0.076898,-0.100109,-0.190203,-0.002935,0.366088,0.037051,-0.048971,-0.007790,0.010917,-0.124852,-0.403729,-0.102975
1,1,2.232600,0.222986,0.736402,0.328534,0.187769,0.745385,0.221451,0.185908,0.758382,0.132730,0.151407,0.779413,0.017454,0.063291,0.767552,-0.052561,0.010153,0.919706,-0.018155,-0.081026,0.780071,-0.054939,-0.025167,-0.523131,0.073856,0.385330,-0.528273,-0.712316,0.125062,0.122986,-0.291401,0.051774,0.156498,-0.314556,-0.022165,0.490407,-0.060302,-0.105206,-0.129680,0.030141,-0.137058,-0.335889,-0.093367
1,2,2.043500,0.030588,0.928704,0.367933,0.047651,0.889884,0.263894,0.085004,0.871505,0.181809,0.105508,0.843429,0.063817,0.053617,0.778295,-0.025741,0.001880,0.925308,-0.010996,-0.074032,0.779927,-0.064068,-0.240714,-0.685056,0.182905,0.588881,-0.582053,-0.489903,-0.018996,-0.151866,-0.156986,-0.066472,-0.105019,-0.199041,0.013664,0.296288,0.037047,-0.074365,0.019567,0.009265,-0.119852,-0.448962,-0.108039
1,3,2.254200,0.186396,1.095677,0.252556,0.162737,1.012611,0.179633,0.164037,0.963431,0.102961,0.135260,0.893604,0.006181,0.056181,0.783067,-0.038091,0.005842,0.937168,-0.019824,-0.088894,0.776396,-0.058790,-0.347083,-0.474191,0.376456,0.530882,-0.715618,-0.452552,-0.238615,0.047871,-0.064144,-0.273282,0.093796,-0.088130,0.046375,-0.336142,-0.036984,0.022072,-0.152640,-0.007073,-0.115766,-0.410206,-0.082019
1,4,2.910400,-0.078487,1.057077,0.297237,-0.035096,0.984453,0.222878,0.021838,0.945716,0.162212,0.069618,0.884990,0.066397,0.042443,0.783857,-0.015892,-0.016086,0.933569,-0.016355,-0.076017,0.777553,-0.087358,-0.402304,-0.745444,0.228272,0.704733,-0.612132,-0.281689,-0.169962,-0.291726,-0.066218,-0.183389,-0.230683,-0.126742,0.058604,-0.164009,-0.044563,-0.009818,0.138230,-0.006361,-0.093350,-0.571542,-0.104874
1,5,2.421000,0.138297,1.060255,0.304218,0.129595,0.985558,0.218746,0.133748,0.945915,0.137976,0.114421,0.883659,0.033370,0.038647,0.780706,-0.025198,-0.013392,0.933535,-0.014277,-0.104700,0.774951,-0.055665,-0.398103,-0.584330,0.254421,0.565716,-0.705290,-0.418243,-0.204313,0.008483,-0.055710,-0.226684,0.055566,-0.092056,0.053570,-0.301952,-0.034415,-0.005822,-0.120564,0.014530,-0.119990,-0.451003,-0.069490
1,6,2.320800,0.058170,1.110417,0.295778,0.076414,1.023406,0.226611,0.104233,0.978103,0.153350,0.123348,0.905084,0.055434,0.080628,0.787453,-0.012400,0.024498,0.937165,-0.015359,-0.047064,0.775722,-0.076465,-0.439115,-0.647213,0.321776,0.669373,-0.666473,-0.324587,-0.226416,-0.100512,0.000319,-0.270082,-0.132100,-0.063595,0.064324,-0.150616,-0.057846,0.022464,0.037102,-0.005914,-0.109603,-0.547035,-0.085357
1,7,2.110400,0.150825,0.940360,0.351924,0.134798,0.888801,0.253560,0.134488,0.876223,0.164996,0.113046,0.848624,0.047433,0.035121,0.776131,-0.032174,-0.015109,0.930370,-0.007926,-0.104925,0.776944,-0.058889,-0.320979,-0.606250,0.203822,0.551469,-0.601305,-0.571500,-0.026771,0.074361,-0.074559,-0.098420,0.042259,-0.132403,0.019643,-0.330441,-0.028571,-0.028234,-0.104858,-0.001281,-0.113639,-0.435840,-0.084895
1,8,1.999900,-0.162675,0.735778,0.332573,-0.087193,0.743299,0.248038,-0.016890,0.760465,0.194998,0.055263,0.781809,0.097691,0.054041,0.772117,-0.012045,-0.017219,0.918429,-0.025924,-0.052658,0.780360,-0.104784,-0.152460,-0.882867,-0.147419,0.701369,-0.331725,-0.413120,0.213082,-0.333170,-0.112380,0.179723,-0.264211,-0.202623,-0.031949,-0.083585,-0.028691,-0.122544,0.288859,-0.041168,-0.111106,-0.651476,-0.119852
1,9,2.255200,0.036829,1.046177,0.309141,0.058764,0.972954,0.225148,0.092526,0.937527,0.149346,0.106875,0.878651,0.041942,0.048537,0.783472,-0.033855,-0.010930,0.937385,-0.033422,-0.086333,0.778375,-0.083109,-0.427196,-0.718064,0.180888,0.677528,-0.627104,-0.364665,-0.181688,-0.144097,-0.034014,-0.190593,-0.062203,-0.107127,0.036347,-0.254162,-0.041026,0.013915,0.014846,-0.004282,-0.107612,-0.497479,-0.092002
