pid,handedness,gender,age,forearmLength,forearmMarkerDist,indexFingerLength,upperarmLength,upperarmMarkerDist,height,rightShoulderMarkerDist.X,rightShoulderMarkerDist.Y
1,Right,Female,26,0.156886,0.073054,0.045509,0.162874,0.077246,1.000000,0.019162,0.090419
2,Right,Male,26,0.129787,0.061170,0.052128,0.148404,0.083511,1.000000,0.030319,0.054255
3,Right,Female,23,0.160606,0.064848,0.045455,0.160606,0.063636,1.000000,0.023636,0.087879
4,Right,Female,23,0.151479,0.053846,0.043195,0.170414,0.062722,1.000000,0.026036,0.060947
5,Right,Female,25,0.149721,0.047486,0.040223,0.146927,0.089385,1.000000,0.020112,0.053073
6,Right,Male,24,0.170103,0.090206,0.055155,0.138660,0.051031,1.000000,0.037629,0.044845
7,Right,Male,25,0.155495,0.040659,0.050000,0.163187,0.090659,1.000000,0.036264,0.034066
8,Right,Female,23,0.158580,0.062130,0.050888,0.153846,0.063905,1.000000,0.019527,0.071006
9,Right,Male,25,0.139362,0.088830,0.049468,0.178191,0.072340,1.000000,0.016489,0.042021
10,Right,Male,28,0.155676,0.053514,0.049730,0.192432,0.056216,1.000000,0.036216,0.063243
11,Right,Male,24,0.150279,0.041899,0.044693,0.142458,0.059218,1.000000,0.024022,0.071508
12,Right,Male,26,0.155263,0.074737,0.061579,0.171053,0.605789,1.000000,0.186842,0.062105
13,Right,Other,20,0.168000,0.082857,0.045143,0.183429,0.054286,1.000000,0.026286,0.061143
