time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0831434,1.068493,-0.1223617,0.095477,1.11631,-0.1842061,0.2099549,1.115655,-0.2809266,0.2612192,1.209075,-0.3786531,0.1190687,1.324261,-0.3085013,-0.0118409,1.584648,-0.216857,-0.1461286,1.330318,-0.3016211,0.0315298,0.4116384,0.8802585,0.0069581,0.2881809,0.2186496,0.3550138,-0.2251081,-0.6285529,0.5143927,0.4152488,-0.298355,-0.0281197,0.3956911,-0.0014248,-0.0629402,-0.0540609,0.0018417,-0.0373586,-0.3908885,-0.0969582
0.0291,-0.0801757,1.065943,-0.1241793,0.0973722,1.117579,-0.1858661,0.2114446,1.117921,-0.2829712,0.2606176,1.209733,-0.3798418,0.1195767,1.323707,-0.3103254,-0.0080686,1.583888,-0.2149875,-0.1448483,1.330217,-0.2988695,0.0243698,0.4148729,0.8752024,-0.0024206,0.2882428,0.2264072,0.357407,-0.2256092,-0.6277834,0.5053306,0.4258938,-0.3053139,-0.0316859,0.4066297,0.0027785,-0.0675919,-0.0676648,0.0046839,-0.0363714,-0.3850827,-0.0977902
0.0497,-0.0801745,1.065661,-0.1260928,0.0973676,1.117976,-0.1867592,0.2119956,1.118633,-0.2837189,0.261325,1.210332,-0.3808706,0.1200594,1.323988,-0.3113972,-0.0067194,1.583598,-0.2144474,-0.1446734,1.330234,-0.2978935,0.0200111,0.4224416,0.8716916,-0.0094521,0.288819,0.2300045,0.3558695,-0.2269169,-0.6257196,0.5097292,0.4220067,-0.3005119,-0.0281548,0.4059201,0.0029554,-0.0690308,-0.0739775,0.0049412,-0.0360298,-0.3799996,-0.098037
0.0712,-0.0807854,1.06558,-0.1284044,0.0973206,1.118304,-0.1874302,0.2121422,1.118902,-0.2844728,0.2615417,1.210366,-0.381344,0.1196943,1.324319,-0.3122619,-0.0050078,1.583612,-0.2140594,-0.1445616,1.330184,-0.2970341,0.0147579,0.4248614,0.871117,-0.0147557,0.2861832,0.2318861,0.3590525,-0.2273286,-0.6288775,0.5080604,0.4222157,-0.2997473,-0.0215064,0.4081697,-0.0002984,-0.0706522,-0.0780205,0.0043869,-0.0356839,-0.3758405,-0.0980096
0.0944,-0.0809576,1.065309,-0.1299902,0.0972652,1.11843,-0.1882216,0.2123236,1.119052,-0.284785,0.2618179,1.210633,-0.3815869,0.1195637,1.324327,-0.3127202,-0.004099,1.583483,-0.2137409,-0.1443777,1.330035,-0.2962617,0.0115843,0.4231586,0.8721125,-0.0165112,0.2864573,0.2327934,0.3594646,-0.2283744,-0.6290564,0.5080235,0.4226197,-0.2993706,-0.0213358,0.410885,-0.0008599,-0.0709785,-0.0829589,0.0054823,-0.0375388,-0.3754966,-0.0982976
0.1162,-0.0809222,1.065138,-0.1303892,0.0972928,1.118401,-0.1887086,0.2120554,1.118275,-0.2855545,0.2615436,1.210397,-0.3815931,0.1199671,1.323638,-0.3120918,-0.003509,1.583557,-0.2135465,-0.1446138,1.330208,-0.2959581,0.0139354,0.4270408,0.870838,-0.0173197,0.2861658,0.2314129,0.3573771,-0.2331131,-0.6202379,0.5042426,0.4260082,-0.3009175,-0.0303736,0.413476,0.002124,-0.0717886,-0.0871777,0.0050756,-0.03596,-0.371083,-0.0984238
0.1392,-0.0809717,1.065134,-0.129119,0.0971644,1.117256,-0.1888109,0.2125685,1.118816,-0.2846575,0.2620851,1.211006,-0.3815497,0.1197399,1.323847,-0.3124572,-0.002649,1.583388,-0.2135387,-0.1442873,1.33018,-0.29599,0.0171268,0.4203005,0.8741672,-0.0139912,0.2902431,0.2338101,0.3633535,-0.2262918,-0.6277728,0.5088208,0.4226376,-0.2971519,-0.0270057,0.4132052,0.0022816,-0.0716605,-0.0912528,0.0047383,-0.0337825,-0.3737797,-0.09743
0.1602,-0.0799913,1.064409,-0.1269863,0.0976394,1.115941,-0.1885354,0.2125994,1.117824,-0.2837036,0.2628359,1.211375,-0.3809882,0.1196781,1.324013,-0.3123771,-0.0027441,1.583636,-0.2137456,-0.1444778,1.330255,-0.2963627,0.0262977,0.4043449,0.8806909,-0.0069994,0.2900385,0.2261394,0.3634522,-0.2269735,-0.6199762,0.5086182,0.4185144,-0.2914411,-0.0272796,0.4121791,0.0028121,-0.0723877,-0.0935605,0.0045196,-0.0328463,-0.3734874,-0.0976969
0.182,-0.0788209,1.063646,-0.1238964,0.0980231,1.115271,-0.1873339,0.2136356,1.118101,-0.2824129,0.2631604,1.211645,-0.3792026,0.1196089,1.323879,-0.3118092,-0.002899,1.583621,-0.2140345,-0.1446612,1.329899,-0.2967883,0.0344427,0.4040706,0.8798622,-0.0037075,0.2918314,0.2270943,0.3695568,-0.2260692,-0.6224824,0.5030783,0.4216112,-0.2926165,-0.0308739,0.4102794,0.0034779,-0.0728971,-0.0947208,0.0034206,-0.0349373,-0.3767084,-0.0972215
0.2047,-0.0764448,1.06274,-0.1180396,0.0990042,1.114537,-0.1852749,0.2143675,1.117552,-0.2801093,0.264086,1.212507,-0.377419,0.1196397,1.323849,-0.3109184,-0.003295,1.583352,-0.214592,-0.1451822,1.329837,-0.2977329,0.0470863,0.3962922,0.881245,-0.0028053,0.2948983,0.2274958,0.3673136,-0.2291172,-0.6139387,0.5069724,0.4169978,-0.2863467,-0.035502,0.4066142,0.0070784,-0.0728866,-0.0950454,0.0019201,-0.0357473,-0.3781563,-0.0966421
