id,trueTarget.X,trueTarget.Y,trueTarget.Z
59,-1,0.49,1.5
64,-1,0.49,1.5
76,-1,0.49,1.5
95,-1,0.49,1.5
97,-1,0.49,1.5
7,-1,0.49,2.5
15,-1,0.49,2.5
83,-1,0.49,2.5
116,-1,0.49,2.5
118,-1,0.49,2.5
19,-1,0.49,3.5
22,-1,0.49,3.5
25,-1,0.49,3.5
48,-1,0.49,3.5
65,-1,0.49,3.5
13,-1,1.49,1.5
52,-1,1.49,1.5
68,-1,1.49,1.5
70,-1,1.49,1.5
113,-1,1.49,1.5
27,-1,1.49,2.5
41,-1,1.49,2.5
45,-1,1.49,2.5
50,-1,1.49,2.5
86,-1,1.49,2.5
10,-1,1.49,3.5
21,-1,1.49,3.5
26,-1,1.49,3.5
28,-1,1.49,3.5
133,-1,1.49,3.5
32,-1,2.49,1.5
62,-1,2.49,1.5
85,-1,2.49,1.5
87,-1,2.49,1.5
88,-1,2.49,1.5
17,-1,2.49,2.5
31,-1,2.49,2.5
34,-1,2.49,2.5
69,-1,2.49,2.5
104,-1,2.49,2.5
3,-1,2.49,3.5
11,-1,2.49,3.5
37,-1,2.49,3.5
110,-1,2.49,3.5
131,-1,2.49,3.5
51,0,0.49,1.5
53,0,0.49,1.5
71,0,0.49,1.5
93,0,0.49,1.5
101,0,0.49,1.5
8,0,0.49,2.5
9,0,0.49,2.5
84,0,0.49,2.5
91,0,0.49,2.5
129,0,0.49,2.5
0,0,0.49,3.5
47,0,0.49,3.5
106,0,0.49,3.5
111,0,0.49,3.5
112,0,0.49,3.5
16,0,1.49,1.5
35,0,1.49,1.5
66,0,1.49,1.5
79,0,1.49,1.5
125,0,1.49,1.5
38,0,1.49,2.5
60,0,1.49,2.5
63,0,1.49,2.5
96,0,1.49,2.5
117,0,1.49,2.5
24,0,1.49,3.5
56,0,1.49,3.5
61,0,1.49,3.5
121,0,1.49,3.5
126,0,1.49,3.5
23,0,2.49,1.5
39,0,2.49,1.5
42,0,2.49,1.5
67,0,2.49,1.5
109,0,2.49,1.5
40,0,2.49,2.5
75,0,2.49,2.5
103,0,2.49,2.5
108,0,2.49,2.5
119,0,2.49,2.5
6,0,2.49,3.5
20,0,2.49,3.5
44,0,2.49,3.5
55,0,2.49,3.5
74,0,2.49,3.5
30,1,0.49,1.5
36,1,0.49,1.5
58,1,0.49,1.5
72,1,0.49,1.5
134,1,0.49,1.5
12,1,0.49,2.5
57,1,0.49,2.5
80,1,0.49,2.5
98,1,0.49,2.5
124,1,0.49,2.5
29,1,0.49,3.5
33,1,0.49,3.5
100,1,0.49,3.5
120,1,0.49,3.5
132,1,0.49,3.5
54,1,1.49,1.5
81,1,1.49,1.5
89,1,1.49,1.5
122,1,1.49,1.5
127,1,1.49,1.5
4,1,1.49,2.5
14,1,1.49,2.5
46,1,1.49,2.5
82,1,1.49,2.5
94,1,1.49,2.5
49,1,1.49,3.5
92,1,1.49,3.5
105,1,1.49,3.5
107,1,1.49,3.5
115,1,1.49,3.5
18,1,2.49,1.5
43,1,2.49,1.5
77,1,2.49,1.5
90,1,2.49,1.5
123,1,2.49,1.5
2,1,2.49,2.5
73,1,2.49,2.5
78,1,2.49,2.5
99,1,2.49,2.5
130,1,2.49,2.5
1,1,2.49,3.5
5,1,2.49,3.5
102,1,2.49,3.5
114,1,2.49,3.5
128,1,2.49,3.5
