id,handedness,gender,age,forearmLength,forearmMarkerDist,fingerLength,upperarmLength,upperarmMarkerDist,height,rightShoulderMarkerDist.X,rightShoulderMarkerDist.Y
1,Right,Female,26,0.262,0.122,0.076,0.272,0.129,1.67,0.032,0.151
2,Right,Male,26,0.244,0.115,0.098,0.279,0.157,1.88,0.057,0.102
3,Right,Female,23,0.265,0.107,0.075,0.265,0.105,1.65,0.039,0.145
4,Right,Female,23,0.256,0.091,0.073,0.288,0.106,1.69,0.044,0.103
5,Right,Female,25,0.268,0.085,0.072,0.263,0.16,1.79,0.036,0.095
6,Right,Male,24,0.33,0.175,0.107,0.269,0.099,1.94,0.073,0.087
7,Right,Male,25,0.283,0.074,0.091,0.297,0.165,1.82,0.066,0.062
8,Right,Female,23,0.268,0.105,0.086,0.26,0.108,1.69,0.033,0.12
9,Right,Male,25,0.262,0.167,0.093,0.335,0.136,1.88,0.031,0.079
10,Right,Male,28,0.288,0.099,0.092,0.356,0.104,1.85,0.067,0.117
11,Right,Male,24,0.269,0.075,0.08,0.255,0.106,1.79,0.043,0.128
12,Right,Male,26,0.295,0.142,0.117,0.325,1.151,1.9,0.035,0.118
13,Right,Other,20,0.294,0.145,0.079,0.321,0.095,1.75,0.046,0.107
